"title_id","content_id","store_classification_2","store_classification_3","serialstation_classification","name"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK02","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 2"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK03","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 3"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK04","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 4"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK05","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 5"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK06","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 6"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK07","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 7"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCK08","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Football Fan Pack 8"
"BCAS-20205","HP9000-BCAS20205_00-ASIAPARENT000000","GAME","NA","Game","LittleBigPlanet Karting"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBP2KADCK0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting 2000AD Costumes"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNODDWCO0003","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Abe Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0022","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Ada Lovelace Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO14","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Algerian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSALCO0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Alice Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSALCK0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Alice In Wonderland Costume Pack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGKA0003","ADD-ON","VEHICLE","DLC","LittleBigPlanet Karting Ambulance"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO13","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting American Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0048","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Angler Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0054","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Anglerfish Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSMUCO0010","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Animal Costume"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPORIGCK0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Animal Costume Set"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPSONYCO0003","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Ape Escape Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0092","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Arabic Costume Minipack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO01","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Argentinian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPRCO0007","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Ariel Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPRCO0002","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Aurora Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO15","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Australian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSMUCO0005","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Beaker Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO16","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Belgian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPRCO0003","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Belle Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNSONYCK0008","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Beyond: Two Souls Costume Pack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNBIOSCK0001","ADD-ON",NULL,"DLC","LittleBigPlanet Karting BioShock Infinite Costume Pack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNBIOSMP0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting BioShock Mini Pack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0088","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Blue Beach Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNBIOSCO0005","ADD-ON",NULL,"DLC","LittleBigPlanet Karting Booker DeWitt Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNSNYPCO0008","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Boris Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO17","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Bosnia and Herzegovina Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0024","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Boudica Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO02","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Brazilian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0016","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Bride of Sackula Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0040","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Bulldog Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSTSCO0002","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Buzz Lightyear Costume"
"BCAS-20205","HP9000-BCAS20205_00-PSNLBPSONYCO0011","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Buzz! Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO18","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cameroonian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO34","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cangaceiro Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCK0006","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cats Costume Pack"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0049","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Caver Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSALCO0006","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cheshire Cat Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO03","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Chilean Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNDSPRCO0005","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cinderella Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0034","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cobra Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNSONYCO0041","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cole Freeman Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNLBPCUPCO04","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Colombian Fan Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNSONYCO0015","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Colossus II Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNSONYCO0016","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Colossus III Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNEAMECO0001","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Commander Shepard N7 Costume"
"BCAS-20205","HP9000-BCAS20205_00-LBPPSNORIGCO0076","ADD-ON","COSTUME/SKIN","DLC","LittleBigPlanet Karting Cossack Costume"
